"counts","number of items in equivalence class","isoforms in equivalence class"
131,17,"ENST00000227266,ENST00000393301,ENST00000524463,ENST00000527018,ENST00000529974,ENST00000677106,ENST00000677208,ENST00000677661,ENST00000677802,ENST00000677976,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678554,ENST00000678915,ENST00000679032,ENST00000679199"
5,14,"ENST00000227266,ENST00000524463,ENST00000527018,ENST00000529974,ENST00000676612,ENST00000677468,ENST00000677802,ENST00000677877,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678915,ENST00000679032,ENST00000679199"
5,13,"ENST00000227266,ENST00000524463,ENST00000527018,ENST00000529974,ENST00000676612,ENST00000677468,ENST00000677802,ENST00000677877,ENST00000678464,ENST00000678506,ENST00000678915,ENST00000679032,ENST00000679199"
4,12,"ENST00000227266,ENST00000524463,ENST00000527018,ENST00000676612,ENST00000677468,ENST00000677802,ENST00000677877,ENST00000678464,ENST00000678506,ENST00000678915,ENST00000679032,ENST00000679199"
26,13,"ENST00000227266,ENST00000527018,ENST00000676612,ENST00000677208,ENST00000677661,ENST00000677802,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678520,ENST00000678554,ENST00000678915,ENST00000679224"
117,12,"ENST00000227266,ENST00000527018,ENST00000676612,ENST00000677208,ENST00000677661,ENST00000677802,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678520,ENST00000678554,ENST00000679224"
1,11,"ENST00000227266,ENST00000527018,ENST00000676612,ENST00000677208,ENST00000677661,ENST00000677802,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678520,ENST00000679224"
141,12,"ENST00000227266,ENST00000527018,ENST00000676612,ENST00000677208,ENST00000677661,ENST00000677802,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678554,ENST00000678915,ENST00000679224"
7,12,"ENST00000227266,ENST00000527018,ENST00000676612,ENST00000677661,ENST00000677802,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678520,ENST00000678554,ENST00000678915,ENST00000679224"
24,11,"ENST00000227266,ENST00000527018,ENST00000676612,ENST00000677661,ENST00000677802,ENST00000678464,ENST00000678506,ENST00000678520,ENST00000678554,ENST00000678915,ENST00000679224"
34,10,"ENST00000227266,ENST00000527018,ENST00000676612,ENST00000677661,ENST00000677802,ENST00000678464,ENST00000678520,ENST00000678554,ENST00000678915,ENST00000679224"
65,9,"ENST00000227266,ENST00000527018,ENST00000676612,ENST00000677661,ENST00000677802,ENST00000678464,ENST00000678554,ENST00000678915,ENST00000679224"
